frame_t,log_t,opening_mm,phase,readback_dq_rad,readback_dopening_m
63.0667,63.07,0.0,,0.00054334,0.0
63.1,63.11,0.0,,0.00034245,0.0
63.1333,63.14,0.0,,0.00036948,0.0
63.1667,63.17,0.0,,0.00039847,0.0
63.2,63.21,0.0,,0.00042961,0.0
63.2333,63.24,0.0,,0.00046304,0.0
63.2667,63.27,0.0,,0.00049896,0.0
63.3,63.31,0.0,,0.00053752,0.0
63.3333,63.34,0.0,,0.00054254,0.0
63.3667,63.37,0.0,,0.00028689,0.0
63.4,63.41,0.0,,0.00030949,0.0
63.4333,63.44,0.0,,0.00033391,0.0
63.4667,63.47,0.0,,0.00036012,0.0
63.5,63.51,0.0,,0.0003883,0.0
63.5333,63.54,0.0,,0.0004186,0.0
63.5667,63.57,0.0,,0.00045105,0.0
63.6,63.61,0.0,,0.00048609,0.0
63.6333,63.64,0.0,,0.00052374,0.0
63.6667,63.67,0.0,,0.00054397,0.0
63.7,63.71,0.0,,0.00039029,0.0
63.7333,63.74,0.0,,0.00042068,0.0
63.7667,63.77,0.0,,0.00045334,0.0
63.8,63.81,0.0,,0.00048854,0.0
63.8333,63.84,0.0,,0.00052638,0.0
63.8667,63.87,0.0,,0.00054369,0.0
63.9,63.91,0.0,,0.00037006,0.0
63.9333,63.94,0.0,,0.00039903,0.0
63.9667,63.97,0.0,,0.00043012,0.0
