seq,t,phase,event,joint1,joint2,joint3,joint4,joint5,joint6,finger,expected_opening
190,3.8000,reach,,-0.000007528,0.506497271,0.785498338,0.000003640,-0.934294123,-1.213291047,0.008900,0.000000
191,3.8200,reach,,-0.000007571,0.509355296,0.789930689,0.000003660,-0.939566088,-1.220137316,0.008900,0.000000
192,3.8400,reach,,-0.000007613,0.512213321,0.794363041,0.000003681,-0.944838054,-1.226983584,0.008900,0.000000
193,3.8600,reach,,-0.000007656,0.515071347,0.798795393,0.000003702,-0.950110019,-1.233829853,0.008900,0.000000
194,3.8800,reach,,-0.000007698,0.517929372,0.803227744,0.000003722,-0.955381985,-1.240676122,0.008900,0.000000
195,3.9000,reach,,-0.000007741,0.520787397,0.807660096,0.000003743,-0.960653950,-1.247522390,0.008900,0.000000
196,3.9200,reach,,-0.000007783,0.523645422,0.812092448,0.000003763,-0.965925916,-1.254368659,0.008900,0.000000
197,3.9400,reach,,-0.000007826,0.526503447,0.816524800,0.000003784,-0.971197881,-1.261214928,0.008900,0.000000
198,3.9600,reach,,-0.000007868,0.529361473,0.820957151,0.000003804,-0.976469847,-1.268061196,0.008900,0.000000
199,3.9800,reach,,-0.000007911,0.532219498,0.825389503,0.000003825,-0.981741812,-1.274907465,0.008900,0.000000
200,4.0000,reach,,-0.000007953,0.535077523,0.829821855,0.000003845,-0.987013778,-1.281753734,0.008900,0.000000
201,4.0200,reach,,-0.000007996,0.537935548,0.834254206,0.000003866,-0.992285743,-1.288600002,0.008900,0.000000
202,4.0400,reach,,-0.000008038,0.540793573,0.838686558,0.000003886,-0.997557709,-1.295446271,0.008900,0.000000
203,4.0600,reach,,-0.000008081,0.543651599,0.843118910,0.000003907,-1.002829674,-1.302292540,0.008900,0.000000
204,4.0800,reach,,-0.000008123,0.546509624,0.847551262,0.000003927,-1.008101640,-1.309138808,0.008900,0.000000
205,4.1000,reach,,-0.000008166,0.549367649,0.851983613,0.000003948,-1.013373605,-1.315985077,0.008900,0.000000
206,4.1200,reach,,-0.000008208,0.552225674,0.856415965,0.000003969,-1.018645571,-1.322831346,0.008900,0.000000
207,4.1400,reach,,-0.000008251,0.555083699,0.860848317,0.000003989,-1.023917537,-1.329677614,0.008900,0.000000
208,4.1600,reach,,-0.000008293,0.557941725,0.865280668,0.000004010,-1.029189502,-1.336523883,0.008900,0.000000
209,4.1800,reach,,-0.000008336,0.560799750,0.869713020,0.000004030,-1.034461468,-1.343370152,0.008900,0.000000
210,4.2000,reach,,-0.000008378,0.563657775,0.874145372,0.000004051,-1.039733433,-1.350216420,0.008900,0.000000
211,4.2200,reach,,-0.000008420,0.566515800,0.878577724,0.000004071,-1.045005399,-1.357062689,0.008900,0.000000
212,4.2400,reach,,-0.000008463,0.569373825,0.883010075,0.000004092,-1.050277364,-1.363908958,0.008900,0.000000
213,4.2600,reach,,-0.000008505,0.572231851,0.887442427,0.000004112,-1.055549330,-1.370755226,0.008900,0.000000
214,4.2800,reach,,-0.000008548,0.575089876,0.891874779,0.000004133,-1.060821295,-1.377601495,0.008900,0.000000
215,4.3000,reach,,-0.000008590,0.577947901,0.896307130,0.000004153,-1.066093261,-1.384447764,0.008900,0.000000
216,4.3200,reach,,-0.000008633,0.580805926,0.900739482,0.000004174,-1.071365226,-1.391294032,0.008900,0.000000
217,4.3400,reach,,-0.000008675,0.583663951,0.905171834,0.000004194,-1.076637192,-1.398140301,0.008900,0.000000
218,4.3600,reach,,-0.000008718,0.586521977,0.909604186,0.000004215,-1.081909157,-1.404986570,0.008900,0.000000
219,4.3800,reach,,-0.000008760,0.589380002,0.914036537,0.000004236,-1.087181123,-1.411832838,0.008900,0.000000
220,4.4000,reach,,-0.000008803,0.592238027,0.918468889,0.000004256,-1.092453088,-1.418679107,0.008900,0.000000
221,4.4200,reach,,-0.000008845,0.595096052,0.922901241,0.000004277,-1.097725054,-1.425525376,0.008900,0.000000
222,4.4400,reach,,-0.000008888,0.597954078,0.927333593,0.000004297,-1.102997019,-1.432371644,0.008900,0.000000
223,4.4600,reach,,-0.000008930,0.600812103,0.931765944,0.000004318,-1.108268985,-1.439217913,0.008900,0.000000
224,4.4800,reach,,-0.000008973,0.603670128,0.936198296,0.000004338,-1.113540951,-1.446064182,0.008900,0.000000
225,4.5000,reach,,-0.000009015,0.606528153,0.940630648,0.000004359,-1.118812916,-1.452910450,0.008900,0.000000
226,4.5200,reach,,-0.000009058,0.609386178,0.945062999,0.000004379,-1.124084882,-1.459756719,0.008900,0.000000
227,4.5400,reach,,-0.000009100,0.612244204,0.949495351,0.000004400,-1.129356847,-1.466602988,0.008900,0.000000
228,4.5600,reach,,-0.000009143,0.615102229,0.953927703,0.000004420,-1.134628813,-1.473449256,0.008900,0.000000
229,4.5800,reach,,-0.000009185,0.617960254,0.958360055,0.000004441,-1.139900778,-1.480295525,0.008900,0.000000
