run,seed,side,obs,t_min,c_min,dur,前_vyb,前_ang,前_wz,前_sp,前_c,前_n,中_vyb,中_ang,中_wz,中_sp,中_c,中_n,後_vyb,後_ang,後_wz,後_sp,後_c,後_n
isaac_bigarena_gmpc_scan_heading__seed1__r3_s1_on_174149,1,ON,dyn_obs_7,35.93999919701116,0.41859887590563943,7.049999842000005,0.08267271514584211,21.17211927555158,0.09610947868670508,0.2281280235769413,0.502755457566811,42,0.03875591666507658,10.013785075726659,0.026380177302493372,0.2328470940670885,0.41859887590563943,39,0.038139565548440085,9.869024146235523,0.09161065355083549,0.22095761211359974,0.5055329567930065,61
isaac_bigarena_gmpc_scan_heading__seed1__r3_s1_on_174149,1,ON,dyn_obs_1,73.93999834701117,0.1103666784369905,8.399999812000004,0.024765310676084812,6.5358681485961485,0.01601007946246049,0.22132084881933184,0.5091839523509565,33,0.05926162477830475,15.339105999114192,0.04065423905979637,0.22392074329670458,0.1103666784369905,72,0.02524401674182416,6.24837810295503,0.02950603745112957,0.22368643909237346,0.5043949895072442,64
isaac_bigarena_gmpc_scan_heading__seed7__b5_s7_on_161817,7,ON,dyn_obs_5,37.75999915643635,0.14383577816576015,20.399999543999996,0.03866439172278193,10.294673669532461,0.008352813399325367,0.22344046791129912,0.5005815260473034,78,0.03614559341202174,9.235486088724407,0.06668761040149952,0.22364685757917968,0.14383577816576015,270,0.09834677698837335,25.020558172211835,0.15595009370409296,0.2239720331108578,0.5045373167696474,61
isaac_bigarena_gmpc_scan_heading__seed8__b5_s8_on_162400,8,ON,dyn_obs_4,70.64999842127429,0.4204095071225387,30.74999931299999,0.07666822886186919,20.905214188419535,0.1398887117983743,0.21950858458578093,0.5017553385563269,144,0.04005783230939537,10.735729924841207,0.08160250527808868,0.22082211917858827,0.4204095071225387,377,0.03152823324422602,8.19963723181866,0.04293431468925675,0.22759562303066067,0.505605541696434,95
isaac_bigarena_gmpc_scan_heading__seed8__r2_s8_on_175219,8,ON,dyn_obs_4,69.21999845272921,0.37586635481969505,29.69999933700001,0.028840712239091973,7.300167857426783,0.10888562253443557,0.21880121015639195,0.5009484954101808,189,0.043866980683966036,11.295705543405068,0.0735081317616643,0.22080951664315235,0.37586635481969505,313,0.028065542525808243,7.032062474935698,0.049689561274140634,0.22328089153189026,0.5038422133959461,93
isaac_bigarena_gmpc_scan_heading__seed8__r3_s8_on_175812,8,ON,dyn_obs_4,69.14999845474873,0.35691117129781796,29.299999345000003,0.08683377287065466,23.87381495155093,0.1162089357999392,0.22304287028382977,0.5006672036385651,143,0.039852706197604094,10.792453867470687,0.07780503975330297,0.22316869235555536,0.35691117129781796,348,0.032784128453623516,8.82064871847756,0.05481345374235641,0.22318331054163726,0.5003468878573403,96
isaac_bigarena_gmpc_scan_heading__seed13__b5_s13_on_164143,13,ON,dyn_obs_2,11.969999732148437,0.04638669847988114,9.499999788000025,0.011257682492554384,2.883751921099548,0.07985708271547365,0.22572692041838122,0.5106654415721619,36,0.05432100060844291,14.612865112545697,0.13103311975765544,0.22000291026165603,0.04638669847988114,119,0.039503733721246465,10.796340525015964,0.10165048194959944,0.21816340973909437,0.5106879244758749,36
isaac_bigarena_gmpc_scan_heading__seed13__b5_s13_on_164143,13,ON,dyn_obs_5,26.51999940714842,0.24013001401833417,20.44999954299999,0.019186680866739338,5.021196703347393,0.03757262989599785,0.22200714276682718,0.5009888697008338,70,0.017653049971562418,4.628027760261524,0.053814139968799544,0.21894355557624576,0.24013001401833417,277,0.0412305765944294,10.855675840399346,0.11174105740057724,0.2211897331129088,0.5032454835721731,63
isaac_bigarena_gmpc_scan_heading__seed24__b5_s24_on_164932,24,ON,dyn_obs_5,70.50999842416428,0.28675790626474357,21.099999528000012,0.03304364732375212,8.908072352331788,0.06475936537860225,0.22165583134618838,0.5005212122705738,93,0.0433853153799406,11.671225917739838,0.09131722461721131,0.21999732551855558,0.28675790626474357,271,0.0665228970323213,16.684438564507843,0.03408419610994503,0.22376477062037164,0.5012975673839122,59
isaac_bigarena_gmpc_scan_heading__seed24__b5_s24_on_164932,24,ON,dyn_obs_9,91.5099979541643,0.10262027459919298,12.099999730000008,0.032594127941474246,8.3016443259548,0.08195133922501446,0.2179187296587718,0.5086819310899027,34,0.15084047478204404,43.39074581967126,0.14693995381679534,0.22253931439514996,0.10262027459919298,158,0.11136350184278054,30.82147305381332,0.20163969824199968,0.22162752028457988,0.5009947721810055,51
