step,t,base_x,base_y,base_z,base_yaw_deg,cmd_joint1,cmd_joint2,cmd_joint3,cmd_joint4,cmd_joint5,cmd_joint6,q_joint1,q_joint2,q_joint3,q_joint4,q_joint5,q_joint6,qd_joint1,qd_joint2,qd_joint3,qd_joint4,qd_joint5,qd_joint6,meff_joint1,meff_joint2,meff_joint3,meff_joint4,meff_joint5,meff_joint6
58,11.07000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450166,-0.894472897,-1.570633292,0.000096788,-0.015479691,0.006048991,-0.004336480,-0.005915005,-0.001673654,0.000008,-14.337600,6.113488,0.274909,-0.536145,0.067335
59,11.08000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450166,-0.894472957,-1.570633054,0.000096844,-0.015479863,0.006048156,-0.004335242,-0.005896353,-0.001663515,0.000010,-14.337553,6.113457,0.274910,-0.536141,0.067335
60,11.09000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450169,-0.894473016,-1.570633411,0.000096777,-0.015479611,0.006048984,-0.004336660,-0.005916351,-0.001674490,0.000008,-14.337593,6.113486,0.274909,-0.536145,0.067335
61,11.10000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450169,-0.894473076,-1.570633292,0.000096849,-0.015479913,0.006048147,-0.004335215,-0.005891472,-0.001660847,0.000010,-14.337557,6.113460,0.274910,-0.536141,0.067335
62,11.11000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450174,-0.894473195,-1.570633769,0.000096770,-0.015479576,0.006049429,-0.004337036,-0.005929810,-0.001681698,0.000008,-14.337616,6.113500,0.274909,-0.536147,0.067335
63,11.12000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450173,-0.894473135,-1.570633531,0.000094904,-0.015485944,0.006073724,-0.004380574,-0.004419819,-0.000869751,0.000011,-14.337534,6.113443,0.274910,-0.536139,0.067335
64,11.13000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450168,-0.894473076,-1.570633173,0.000094921,-0.015486063,0.006073371,-0.004380231,-0.004419512,-0.000869642,0.000009,-14.337572,6.113469,0.274910,-0.536142,0.067335
65,11.14000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450164,-0.894472957,-1.570632935,0.000094890,-0.015486038,0.006073652,-0.004380889,-0.004420350,-0.000870299,0.000009,-14.337580,6.113476,0.274910,-0.536144,0.067335
66,11.15000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450160,-0.894472897,-1.570632696,0.000094893,-0.015486014,0.006073488,-0.004380818,-0.004419618,-0.000870003,0.000009,-14.337566,6.113469,0.274909,-0.536143,0.067335
67,11.16000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021211,1.051750064,1.724586725,0.000450154,-0.894472778,-1.570632458,0.000094896,-0.015485987,0.006073230,-0.004380646,-0.004420342,-0.000870518,0.000009,-14.337567,6.113467,0.274910,-0.536142,0.067335
