seq,t,phase,event,joint1,joint2,joint3,joint4,joint5,joint6,finger,expected_opening
132,2.6400,reach,,-0.000005200,0.349822395,0.542520020,0.000002514,-0.645288783,-0.837983548,0.008900,0.000000
133,2.6600,reach,,-0.000005243,0.352749288,0.547059176,0.000002535,-0.650687784,-0.844994787,0.008900,0.000000
134,2.6800,reach,,-0.000005287,0.355676182,0.551598331,0.000002556,-0.656086785,-0.852006026,0.008900,0.000000
135,2.7000,reach,,-0.000005330,0.358603075,0.556137487,0.000002577,-0.661485786,-0.859017265,0.008900,0.000000
136,2.7200,reach,,-0.000005374,0.361529968,0.560676642,0.000002598,-0.666884787,-0.866028504,0.008900,0.000000
137,2.7400,reach,,-0.000005417,0.364456861,0.565215797,0.000002619,-0.672283787,-0.873039743,0.008900,0.000000
138,2.7600,reach,,-0.000005461,0.367383755,0.569754953,0.000002640,-0.677682788,-0.880050982,0.008900,0.000000
139,2.7800,reach,,-0.000005504,0.370310648,0.574294108,0.000002661,-0.683081789,-0.887062221,0.008900,0.000000
140,2.8000,reach,,-0.000005548,0.373237541,0.578833263,0.000002682,-0.688480790,-0.894073460,0.008900,0.000000
141,2.8200,reach,,-0.000005591,0.376164435,0.583372419,0.000002703,-0.693879791,-0.901084699,0.008900,0.000000
142,2.8400,reach,,-0.000005635,0.379091328,0.587911574,0.000002724,-0.699278792,-0.908095938,0.008900,0.000000
143,2.8600,reach,,-0.000005678,0.382018221,0.592450730,0.000002745,-0.704677792,-0.915107177,0.008900,0.000000
144,2.8800,reach,,-0.000005722,0.384945114,0.596989885,0.000002766,-0.710076793,-0.922118416,0.008900,0.000000
145,2.9000,reach,,-0.000005765,0.387872008,0.601529040,0.000002787,-0.715475794,-0.929129655,0.008900,0.000000
146,2.9200,reach,,-0.000005809,0.390798901,0.606068196,0.000002808,-0.720874795,-0.936140894,0.008900,0.000000
147,2.9400,reach,,-0.000005852,0.393725794,0.610607351,0.000002829,-0.726273796,-0.943152133,0.008900,0.000000
148,2.9600,reach,,-0.000005896,0.396652688,0.615146506,0.000002851,-0.731672797,-0.950163372,0.008900,0.000000
149,2.9800,reach,,-0.000005939,0.399579581,0.619685662,0.000002872,-0.737071798,-0.957174611,0.008900,0.000000
150,3.0000,reach,,-0.000005983,0.402506474,0.624224817,0.000002893,-0.742470798,-0.964185850,0.008900,0.000000
151,3.0200,reach,,-0.000006026,0.405433367,0.628763973,0.000002914,-0.747869799,-0.971197089,0.008900,0.000000
152,3.0400,reach,,-0.000006070,0.408360261,0.633303128,0.000002935,-0.753268800,-0.978208328,0.008900,0.000000
153,3.0600,reach,,-0.000006113,0.411287154,0.637842283,0.000002956,-0.758667801,-0.985219567,0.008900,0.000000
154,3.0800,reach,,-0.000006157,0.414214047,0.642381439,0.000002977,-0.764066802,-0.992230806,0.008900,0.000000
155,3.1000,reach,,-0.000006200,0.417140941,0.646920594,0.000002998,-0.769465803,-0.999242045,0.008900,0.000000
156,3.1200,reach,,-0.000006244,0.420067834,0.651459749,0.000003019,-0.774864803,-1.006253284,0.008900,0.000000
157,3.1400,reach,,-0.000006287,0.422994727,0.655998905,0.000003040,-0.780263804,-1.013264523,0.008900,0.000000
158,3.1600,reach,,-0.000006331,0.425921620,0.660538060,0.000003061,-0.785662805,-1.020275762,0.008900,0.000000
159,3.1800,reach,,-0.000006374,0.428848514,0.665077216,0.000003082,-0.791061806,-1.027287001,0.008900,0.000000
160,3.2000,reach,,-0.000006418,0.431775407,0.669616371,0.000003103,-0.796460807,-1.034298240,0.008900,0.000000
161,3.2200,reach,,-0.000006461,0.434702300,0.674155526,0.000003124,-0.801859808,-1.041309479,0.008900,0.000000
162,3.2400,reach,,-0.000006505,0.437629194,0.678694682,0.000003145,-0.807258809,-1.048320718,0.008900,0.000000
163,3.2600,reach,,-0.000006548,0.440556087,0.683233837,0.000003166,-0.812657809,-1.055331957,0.008900,0.000000
164,3.2800,reach,,-0.000006592,0.443482980,0.687772992,0.000003187,-0.818056810,-1.062343196,0.008900,0.000000
165,3.3000,reach,,-0.000006635,0.446409873,0.692312148,0.000003208,-0.823455811,-1.069354435,0.008900,0.000000
166,3.3200,reach,,-0.000006679,0.449336767,0.696851303,0.000003229,-0.828854812,-1.076365674,0.008900,0.000000
167,3.3400,reach,,-0.000006722,0.452263660,0.701390459,0.000003250,-0.834253813,-1.083376913,0.008900,0.000000
168,3.3600,reach,,-0.000006766,0.455190553,0.705929614,0.000003271,-0.839652814,-1.090388152,0.008900,0.000000
169,3.3800,reach,,-0.000006809,0.458117447,0.710468769,0.000003292,-0.845051814,-1.097399391,0.008900,0.000000
170,3.4000,reach,,-0.000006853,0.461044340,0.715007925,0.000003313,-0.850450815,-1.104410630,0.008900,0.000000
171,3.4200,reach,,-0.000006896,0.463971233,0.719547080,0.000003334,-0.855849816,-1.111421869,0.008900,0.000000
172,3.4400,reach,,-0.000006940,0.466898126,0.724086235,0.000003355,-0.861248817,-1.118433108,0.008900,0.000000
173,3.4600,reach,,-0.000006983,0.469825020,0.728625391,0.000003376,-0.866647818,-1.125444347,0.008900,0.000000
174,3.4800,reach,,-0.000007027,0.472751913,0.733164546,0.000003397,-0.872046819,-1.132455586,0.008900,0.000000
175,3.5000,reach,,-0.000007070,0.475678806,0.737703702,0.000003418,-0.877445820,-1.139466825,0.008900,0.000000
176,3.5200,reach,,-0.000007114,0.478605700,0.742242857,0.000003439,-0.882844820,-1.146478064,0.008900,0.000000
177,3.5400,reach,,-0.000007157,0.481532593,0.746782012,0.000003461,-0.888243821,-1.153489303,0.008900,0.000000
178,3.5600,reach,,-0.000007201,0.484459486,0.751321168,0.000003482,-0.893642822,-1.160500542,0.008900,0.000000
179,3.5800,reach,,-0.000007244,0.487386379,0.755860323,0.000003503,-0.899041823,-1.167511781,0.008900,0.000000
180,3.6000,reach,,-0.000007288,0.490313273,0.760399478,0.000003524,-0.904440824,-1.174523020,0.008900,0.000000
181,3.6200,reach,,-0.000007331,0.493240166,0.764938634,0.000003545,-0.909839825,-1.181534259,0.008900,0.000000
182,3.6400,reach,,-0.000007375,0.496167059,0.769477789,0.000003566,-0.915238825,-1.188545498,0.008900,0.000000
183,3.6600,reach,,-0.000007418,0.499093953,0.774016945,0.000003587,-0.920637826,-1.195556737,0.008900,0.000000
184,3.6800,reach,,-0.000007462,0.502020846,0.778556100,0.000003608,-0.926036827,-1.202567976,0.008900,0.000000
185,3.7000,reach,,-0.000007505,0.504947739,0.783095255,0.000003629,-0.931435828,-1.209579215,0.008900,0.000000
186,3.7200,reach,,-0.000007549,0.507874632,0.787634411,0.000003650,-0.936834829,-1.216590454,0.008900,0.000000
187,3.7400,reach,,-0.000007592,0.510801526,0.792173566,0.000003671,-0.942233830,-1.223601693,0.008900,0.000000
188,3.7600,reach,,-0.000007636,0.513728419,0.796712721,0.000003692,-0.947632830,-1.230612932,0.008900,0.000000
